Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,46.759998,47.040001,45.810001,46.000000,45.228691,23978000
2018-12-10,46.009998,47.080002,45.340000,46.669998,45.887451,26375500
2018-12-11,46.980000,47.130001,46.060001,46.459999,45.680977,22680200
2018-12-12,47.110001,48.110001,47.009998,47.320000,46.526558,21404000
2018-12-13,47.480000,47.549999,46.750000,47.230000,46.438068,23295400
2018-12-14,46.779999,47.029999,46.410000,46.599998,45.818630,21434300
2018-12-17,46.419998,47.230000,45.529999,45.730000,44.963219,30441100
2018-12-18,48.099998,48.340000,45.439999,45.849998,45.081203,42855600
2018-12-19,46.060001,47.439999,45.750000,46.450001,45.671146,34397300
2018-12-20,46.049999,46.950001,45.480000,46.240002,45.464668,35165200
2018-12-21,46.080002,46.209999,43.860001,44.000000,43.262230,58768400
2018-12-24,43.770000,43.820000,42.680000,42.689999,41.974194,17230400
2018-12-26,43.000000,44.610001,42.400002,44.590000,43.842335,21428900
2018-12-27,43.950001,45.090000,43.459999,44.970001,44.215961,19048700
2018-12-28,45.139999,45.770000,44.740002,44.820000,44.068474,39141200
2018-12-31,45.189999,45.500000,44.840000,45.150002,44.392948,14932600
2019-01-02,44.480000,45.340000,44.450001,45.220001,44.461769,14320400
2019-01-03,44.750000,45.500000,44.410000,44.779999,44.029148,19868700
2019-01-04,45.369999,46.950001,45.250000,46.709999,45.926785,20984000
2019-01-07,46.930000,48.110001,46.470001,47.450001,46.654377,17967900
2019-01-08,47.930000,48.360001,47.200001,47.880001,47.077171,16255700
2019-01-09,46.639999,48.230000,46.610001,47.779999,46.978844,19100200
2019-01-10,47.380001,47.980000,46.880001,47.820000,47.018173,16652700
2019-01-11,47.669998,48.619999,47.369999,48.290001,47.480297,16397400
2019-01-14,47.849998,48.340000,47.619999,48.180000,47.372139,14869400
2019-01-15,47.470001,48.529999,47.410000,48.380001,47.757118,12142100
2019-01-16,48.580002,48.790001,48.049999,48.060001,47.441238,14114000
2019-01-17,48.009998,48.910000,47.810001,48.580002,47.954544,12711200
2019-01-18,48.939999,49.570000,48.869999,49.270000,48.635662,15930600
2019-01-22,48.840000,49.169998,48.660000,48.939999,48.309910,13318700
2019-01-23,49.189999,49.480000,48.830002,49.240002,48.606049,15551200
2019-01-24,49.259998,49.430000,48.869999,49.200001,48.566559,11442200
2019-01-25,49.599998,49.900002,49.450001,49.799999,49.158836,16656600
2019-01-28,49.450001,49.730000,49.209999,49.520000,48.882442,11799100
2019-01-29,49.389999,49.919998,49.189999,49.610001,48.971283,10838600
2019-01-30,49.860001,50.500000,49.599998,50.360001,49.711624,13483800
2019-01-31,50.240002,50.500000,50.070000,50.230000,49.583298,20403600
2019-02-01,50.520000,51.099998,50.290001,50.810001,50.155834,14849600
2019-02-04,50.380001,51.250000,50.380001,51.029999,50.372997,12221200
2019-02-05,51.169998,51.369999,50.889999,51.240002,50.580296,13345500
2019-02-06,51.189999,51.490002,50.970001,51.259998,50.600033,9220900
2019-02-07,50.790001,50.990002,50.169998,50.220001,49.573429,14905000
2019-02-08,50.090000,51.029999,49.820000,51.029999,50.372997,11535600
2019-02-11,50.959999,51.480000,50.950001,51.230000,50.570423,9714500
2019-02-12,51.459999,51.549999,51.189999,51.220001,50.560555,14188500
2019-02-13,51.250000,51.549999,50.950001,51.419998,50.757977,11342600
2019-02-14,51.240002,51.750000,51.090000,51.480000,50.817204,11155300
2019-02-15,51.130001,51.720001,51.070000,51.720001,51.054119,13822200
2019-02-19,51.480000,52.180000,51.240002,52.020000,51.350254,12357500
2019-02-20,52.000000,52.209999,51.500000,51.770000,51.103474,13440900
2019-02-21,51.630001,52.349998,51.509998,52.110001,51.439095,14759500
2019-02-22,52.389999,52.599998,52.200001,52.480000,51.804329,11689700
2019-02-25,52.750000,53.029999,52.459999,52.560001,51.883301,14722200
2019-02-26,52.459999,52.880001,52.240002,52.599998,51.922787,12041300
2019-02-27,52.520000,52.639999,52.259998,52.380001,51.705620,10674200
2019-02-28,52.200001,52.509998,52.049999,52.130001,51.458839,31856900
2019-03-01,52.500000,52.730000,52.369999,52.509998,51.833942,15757700
2019-03-04,52.669998,52.849998,51.570000,52.040001,51.369995,14850100
2019-03-05,52.040001,52.590000,52.020000,52.360001,51.685875,16291900
2019-03-06,52.310001,52.750000,52.130001,52.349998,51.676006,12389300
2019-03-07,52.200001,53.130001,52.189999,52.580002,51.903046,16624100
2019-03-08,52.349998,52.779999,52.130001,52.770000,52.090599,15071100
2019-03-11,51.939999,53.180000,51.910000,52.660000,51.982014,20027700
2019-03-12,52.669998,53.290001,52.580002,52.799999,52.120209,18048500
2019-03-13,53.060001,53.470001,52.740002,53.060001,52.376865,19490800
2019-03-14,52.980000,53.400002,52.849998,53.049999,52.366989,24000300
2019-03-15,51.400002,53.389999,51.000000,52.939999,52.258408,43340200
2019-03-18,52.869999,53.959999,52.779999,53.459999,52.771713,21953600
2019-03-19,53.799999,54.380001,53.750000,54.040001,53.344242,19214000
2019-03-20,53.889999,54.189999,52.509998,52.639999,51.962269,24111600
2019-03-21,52.630001,54.049999,52.349998,54.040001,53.344242,16686300
2019-03-22,53.619999,53.880001,52.740002,52.770000,52.090599,16201500
2019-03-25,52.560001,52.939999,52.230000,52.740002,52.060986,11755900
2019-03-26,53.290001,53.540001,53.060001,53.279999,52.594032,11657600
2019-03-27,53.279999,53.650002,52.310001,52.810001,52.130085,12636000
2019-03-28,53.000000,53.299999,52.790001,53.189999,52.505188,9103100
2019-03-29,53.470001,53.740002,53.250000,53.709999,53.018494,11485700
2019-04-01,53.880001,54.650002,53.849998,54.580002,53.877296,15191700
2019-04-02,54.410000,54.500000,53.880001,54.150002,53.452827,10812100
2019-04-03,54.160000,54.389999,53.860001,54.060001,53.363987,12853400
2019-04-04,53.860001,54.150002,53.410000,53.820000,53.127079,9978800
2019-04-05,53.740002,54.189999,53.740002,53.930000,53.235661,10016300
2019-04-08,53.730000,53.930000,53.330002,53.720001,53.028370,10126700
2019-04-09,53.500000,54.099998,53.470001,53.830002,53.136951,9789000
2019-04-10,53.619999,54.160000,53.599998,53.970001,53.513741,8477300
2019-04-11,54.049999,54.189999,53.520000,53.790001,53.335258,8147600
2019-04-12,54.099998,54.500000,53.869999,54.500000,54.039257,9014000
2019-04-15,54.500000,54.750000,54.310001,54.630001,54.168159,7694900
2019-04-16,54.669998,54.910000,54.330002,54.590000,54.128494,7265200
2019-04-17,54.680000,54.830002,54.389999,54.480000,54.019424,7792200
2019-04-18,54.439999,54.669998,54.230000,54.520000,54.059090,8233000
2019-04-22,54.400002,54.680000,54.200001,54.619999,54.158241,6088100
2019-04-23,54.750000,55.139999,54.720001,54.939999,54.475536,10923400
2019-04-24,55.000000,55.529999,54.959999,55.180000,54.713505,8769800
2019-04-25,55.150002,55.220001,54.580002,55.009998,54.544941,8226100
2019-04-26,55.220001,55.490002,55.009998,55.410000,54.941563,7101600
2019-04-29,55.290001,55.490002,55.080002,55.080002,54.614357,6443000
2019-04-30,55.060001,55.380001,54.840000,55.330002,54.862244,10562300
2019-05-01,55.320000,55.419998,54.799999,54.880001,54.416046,7792700
2019-05-02,54.810001,55.049999,54.459999,54.599998,54.138412,9652200
2019-05-03,54.799999,55.020000,54.669998,54.790001,54.326805,11066500
2019-05-06,53.900002,55.000000,53.830002,54.849998,54.386299,9305400
2019-05-07,54.200001,54.639999,53.650002,54.000000,53.543484,11712400
2019-05-08,54.349998,54.430000,53.810001,53.990002,53.533573,10729800
2019-05-09,53.459999,54.349998,53.080002,54.250000,53.791370,10711800
2019-05-10,53.770000,54.970001,53.509998,54.650002,54.187988,11200300
2019-05-13,53.720001,53.950001,53.389999,53.430000,52.978302,10664700
2019-05-14,53.639999,54.619999,53.360001,54.130001,53.672386,11520800
2019-05-15,53.910000,54.810001,53.840000,54.560001,54.098751,8573000
2019-05-16,54.910000,55.150002,54.549999,54.639999,54.178074,10013800
2019-05-17,54.189999,54.919998,54.189999,54.500000,54.039257,9057100
2019-05-20,53.950001,54.360001,53.529999,53.660000,53.206360,9820200
2019-05-21,54.209999,54.270000,54.029999,54.169998,53.712044,8482000
2019-05-22,54.230000,54.549999,54.040001,54.200001,53.741795,8389700
2019-05-23,53.720001,53.720001,52.509998,53.080002,52.631264,11213900
2019-05-24,53.380001,53.470001,52.590000,52.770000,52.323883,9090700
2019-05-28,53.080002,53.279999,51.750000,51.750000,51.312504,28230400
2019-05-29,51.430000,51.810001,51.049999,51.689999,51.253014,12448700
2019-05-30,51.930000,52.029999,51.459999,51.720001,51.282761,8569500
2019-05-31,51.240002,51.360001,50.509998,50.599998,50.172226,11847100
2019-06-03,50.560001,51.080002,49.889999,50.240002,49.815273,17434400
2019-06-04,50.790001,52.240002,50.630001,52.020000,51.580223,17073200
2019-06-05,52.779999,53.240002,51.849998,52.099998,51.659546,15855300
2019-06-06,52.090000,52.740002,51.860001,52.590000,52.145405,10266900
2019-06-07,52.799999,53.419998,52.779999,53.259998,52.809738,11591800
2019-06-10,53.680000,54.410000,53.570000,54.009998,53.553394,12984600
2019-06-11,54.500000,54.610001,53.840000,53.939999,53.483990,11288400
2019-06-12,53.680000,54.049999,53.430000,53.619999,53.166695,10235400
2019-06-13,53.980000,53.980000,53.439999,53.840000,53.384834,11289100
2019-06-14,53.610001,53.830002,53.279999,53.279999,52.829571,12973000
2019-06-17,53.340000,53.549999,52.950001,53.130001,52.680840,15207900
2019-06-18,52.860001,53.599998,52.410000,52.900002,52.452782,20999700
2019-06-19,52.750000,53.130001,52.250000,52.680000,52.234642,35449500
2019-06-20,55.980000,57.470001,55.529999,56.990002,56.508209,54173900
2019-06-21,57.139999,57.150002,56.060001,56.119999,55.645557,45169000
2019-06-24,56.250000,57.299999,55.900002,56.740002,56.260323,19544200
2019-06-25,56.869999,57.180000,56.060001,56.070000,55.595985,25462100
2019-06-26,56.430000,56.849998,56.240002,56.660000,56.180996,15045200
2019-06-27,57.000000,57.389999,56.759998,56.770000,56.290070,12605800
2019-06-28,56.900002,57.080002,56.360001,56.970001,56.488377,42570500
2019-07-01,57.150002,58.090000,57.029999,58.009998,57.519581,20438300
2019-07-02,57.880001,58.560001,57.770000,58.459999,57.965778,17569600
2019-07-03,58.450001,58.950001,58.380001,58.860001,58.362396,9989100
2019-07-05,58.529999,59.520000,58.340000,59.279999,58.778847,13838900
2019-07-08,59.189999,59.669998,59.009998,59.529999,59.026733,16105600
2019-07-09,59.200001,59.630001,59.009998,59.599998,59.096142,14348600
2019-07-10,59.939999,60.500000,59.750000,60.150002,59.641491,16059100
2019-07-11,60.180000,60.209999,59.400002,59.990002,59.482849,11150200
2019-07-12,60.090000,60.090000,59.299999,59.810001,59.304367,11234300
2019-07-15,59.849998,59.849998,59.250000,59.529999,59.026733,10721600
2019-07-16,59.169998,59.480000,58.590000,58.610001,58.349754,9698900
2019-07-17,58.799999,58.950001,57.990002,57.990002,57.732510,9090900
2019-07-18,57.689999,58.139999,57.599998,58.119999,57.861927,11882300
2019-07-19,58.310001,58.529999,57.520000,57.540001,57.284504,11663500
2019-07-22,57.880001,58.080002,57.549999,57.599998,57.344238,8761700
2019-07-23,58.060001,58.139999,57.450001,57.450001,57.194904,8141100
2019-07-24,57.450001,58.220001,57.380001,58.110001,57.851974,10778700
2019-07-25,58.369999,58.630001,58.080002,58.290001,58.031174,8175900
2019-07-26,58.340000,58.650002,58.200001,58.500000,58.240242,6057200
2019-07-29,58.790001,58.790001,57.799999,58.060001,57.802197,7439300
2019-07-30,57.759998,58.150002,57.430000,57.490002,57.234730,6367200
2019-07-31,57.880001,57.880001,55.619999,56.299999,56.050011,11966700
2019-08-01,56.299999,56.849998,55.520000,55.880001,55.631878,10215200
2019-08-02,56.189999,56.189999,55.000000,55.840000,55.592052,12644400
2019-08-05,55.099998,55.099998,53.689999,53.759998,53.521286,16204600
2019-08-06,54.200001,54.450001,53.610001,53.959999,53.720402,13149500
2019-08-07,53.130001,54.070000,52.970001,53.340000,53.103153,16344100
2019-08-08,53.720001,54.750000,53.720001,54.650002,54.407337,12460700
2019-08-09,54.240002,54.470001,53.520000,53.900002,53.660667,8471300
2019-08-12,53.680000,53.790001,53.000000,53.250000,53.013554,6580100
2019-08-13,53.139999,54.240002,53.000000,53.970001,53.730358,11014800
2019-08-14,53.349998,53.369999,52.240002,52.320000,52.087685,12489200
2019-08-15,52.650002,52.720001,51.959999,52.590000,52.356483,11257000
2019-08-16,53.180000,53.700001,53.009998,53.590000,53.352043,9913100
2019-08-19,54.220001,54.369999,53.759998,53.869999,53.630798,8273100
2019-08-20,53.520000,53.840000,52.900002,52.980000,52.744751,7577800
2019-08-21,53.529999,53.930000,53.169998,53.240002,53.003601,6113100
2019-08-22,53.580002,53.720001,52.889999,53.189999,52.953819,6744900
2019-08-23,53.060001,53.320000,51.250000,51.580002,51.350971,11374500
2019-08-26,52.139999,52.320000,51.830002,52.130001,51.898529,8582300
2019-08-27,52.439999,52.619999,52.220001,52.389999,52.157372,13853100
2019-08-28,52.200001,52.200001,51.619999,51.950001,51.719326,7499000
2019-08-29,52.650002,52.810001,52.090000,52.160000,51.928394,6858000
2019-08-30,52.500000,52.549999,51.750000,52.060001,51.828838,7920000
2019-09-03,51.939999,52.000000,51.549999,51.889999,51.659592,10128000
2019-09-04,52.349998,53.130001,52.220001,52.970001,52.734798,10558300
2019-09-05,53.730000,54.330002,53.630001,53.840000,53.600933,10414500
2019-09-06,54.099998,54.139999,53.139999,53.160000,52.923954,11636100
2019-09-09,53.619999,54.680000,53.450001,54.540001,54.297825,17803800
2019-09-10,54.540001,55.470001,54.139999,55.470001,55.223698,19976400
2019-09-11,55.270000,56.290001,55.160000,56.290001,56.040054,16749400
2019-09-12,54.340000,54.880001,52.900002,53.889999,53.650711,28184400
2019-09-13,54.000000,54.720001,53.330002,53.750000,53.511333,14736700
2019-09-16,53.400002,53.570000,52.790001,53.139999,52.904041,15204200
2019-09-17,53.180000,53.200001,52.349998,52.869999,52.635239,11111400
2019-09-18,52.820000,52.840000,51.860001,52.560001,52.326618,8911800
2019-09-19,52.389999,53.669998,52.389999,53.369999,53.133018,14855000
2019-09-20,53.709999,54.250000,53.419998,53.470001,53.232578,59517000
2019-09-23,53.169998,54.169998,53.060001,54.020000,53.780136,13863100
2019-09-24,54.139999,54.490002,53.119999,53.349998,53.113110,15354800
2019-09-25,53.310001,53.950001,52.889999,53.840000,53.600933,11607200
2019-09-26,54.110001,54.330002,53.470001,53.959999,53.720402,13324300
2019-09-27,54.189999,54.599998,53.619999,54.090000,53.849823,12391100
2019-09-30,54.250000,55.279999,54.049999,55.029999,54.785648,17445100
2019-10-01,55.040001,55.639999,53.750000,53.799999,53.561111,16443200
2019-10-02,53.500000,53.560001,52.680000,53.150002,52.913998,15923700
2019-10-03,53.060001,53.880001,52.939999,53.860001,53.620846,11268500
2019-10-04,54.000000,55.180000,53.840000,55.139999,54.895161,13659500
2019-10-07,55.070000,55.360001,54.750000,54.799999,54.556671,12352100
2019-10-08,54.290001,54.709999,53.770000,54.049999,53.810001,14771500
2019-10-09,54.150002,54.990002,54.060001,54.529999,54.529999,12803100
2019-10-10,54.450001,55.599998,54.349998,55.490002,55.490002,13789000
2019-10-11,55.919998,57.330002,55.709999,56.889999,56.889999,18675200
2019-10-14,56.830002,57.209999,56.410000,56.459999,56.459999,11079600
2019-10-15,56.630001,56.820000,56.349998,56.349998,56.349998,9150100
2019-10-16,55.790001,56.009998,55.549999,55.880001,55.880001,8912300
2019-10-17,56.009998,56.240002,54.990002,55.060001,55.060001,9917700
2019-10-18,54.950001,55.259998,54.180000,54.549999,54.549999,12562900
2019-10-21,55.060001,55.299999,54.820000,55.130001,55.130001,8256600
2019-10-22,55.220001,55.430000,54.020000,54.110001,54.110001,7777100
2019-10-23,54.000000,54.630001,53.869999,54.130001,54.130001,10491000
2019-10-24,54.470001,54.650002,53.939999,54.259998,54.259998,6449200
2019-10-25,54.040001,54.419998,54.009998,54.169998,54.169998,6307000
2019-10-28,54.349998,54.680000,54.270000,54.639999,54.639999,7280200
2019-10-29,54.720001,55.310001,54.560001,54.799999,54.799999,8333900
2019-10-30,55.180000,55.180000,54.450001,54.849998,54.849998,6284900
2019-10-31,54.720001,54.849998,54.240002,54.490002,54.490002,8260600
2019-11-01,54.810001,55.150002,54.549999,55.000000,55.000000,7313600
2019-11-04,55.259998,55.750000,55.259998,55.450001,55.450001,8757000
2019-11-05,55.759998,55.840000,55.509998,55.669998,55.669998,10759300
2019-11-06,55.709999,55.889999,55.599998,55.700001,55.700001,10572100
2019-11-07,55.959999,56.630001,55.860001,55.980000,55.980000,9677700
2019-11-08,55.980000,56.490002,55.770000,56.490002,56.490002,5869600
2019-11-11,56.200001,56.610001,56.180000,56.430000,56.430000,5018000
2019-11-12,56.529999,56.849998,56.419998,56.590000,56.590000,6184900
2019-11-13,56.209999,56.560001,56.169998,56.209999,56.209999,6802300
2019-11-14,55.810001,56.330002,55.639999,56.090000,56.090000,9056100
2019-11-15,56.400002,56.560001,56.270000,56.419998,56.419998,7216900
2019-11-18,56.560001,56.560001,55.959999,56.189999,56.189999,6923300
2019-11-19,56.470001,56.950001,56.259998,56.270000,56.270000,7199500
2019-11-20,56.220001,56.619999,55.810001,56.240002,56.240002,9117000
2019-11-21,56.220001,56.590000,56.119999,56.230000,56.230000,8067100
2019-11-22,56.419998,57.060001,56.250000,56.389999,56.389999,6346900
2019-11-25,56.459999,56.680000,56.279999,56.560001,56.560001,7977700
2019-11-26,56.750000,56.860001,56.419998,56.509998,56.509998,12076900
2019-11-27,56.900002,56.910000,56.380001,56.610001,56.610001,5790000
2019-11-29,56.330002,56.490002,56.090000,56.139999,56.139999,6479400
2019-12-02,56.230000,56.459999,55.380001,55.430000,55.430000,14314000
2019-12-03,54.619999,54.990002,54.459999,54.590000,54.590000,11963700
2019-12-04,54.900002,54.900002,54.180000,54.410000,54.410000,11436800
2019-12-05,54.500000,54.830002,54.299999,54.680000,54.680000,10557400
2019-12-06,55.029999,55.130001,54.610001,54.830002,54.830002,8723424
